station,valid,tmpf
OZR,2006-01-01 15:46,71.60
ANB,2006-01-01 15:53,62.06
TCL,2006-01-01 15:53,64.94
MGM,2006-01-01 15:53,64.04
DHN,2006-01-01 15:53,69.08
HSV,2006-01-01 15:53,64.04
BHM,2006-01-01 15:53,62.06
MSL,2006-01-01 15:53,64.94
OZR,2006-01-01 15:55,71.60
MOB,2006-01-01 15:56,71.06
ALX,2006-01-01 16:00,60.80
MDQ,2006-01-01 16:00,60.80
3A1,2006-01-01 16:00,62.60
ANB,2006-01-01 16:07,62.60
DHN,2006-01-01 16:08,69.80
AUO,2006-01-01 16:15,59.00
OZR,2006-01-01 16:17,69.80
ALX,2006-01-01 16:20,60.80
MDQ,2006-01-01 16:20,60.80
3A1,2006-01-01 16:20,62.60
OZR,2006-01-01 16:28,69.80
DHN,2006-01-01 16:31,69.80
AUO,2006-01-01 16:35,59.00
DHN,2006-01-01 16:36,69.80
3A1,2006-01-01 16:38,62.60
ALX,2006-01-01 16:40,60.80
MDQ,2006-01-01 16:40,60.80
DHN,2006-01-01 16:46,68.00
OZR,2006-01-01 16:47,69.80
DHN,2006-01-01 16:53,66.92
BHM,2006-01-01 16:53,62.06
MGM,2006-01-01 16:53,64.04
ANB,2006-01-01 16:53,62.06
TCL,2006-01-01 16:53,64.94
HSV,2006-01-01 16:53,62.06
AUO,2006-01-01 16:55,60.80
OZR,2006-01-01 16:55,69.80
MOB,2006-01-01 16:56,69.08
MDQ,2006-01-01 16:57,60.80
ALX,2006-01-01 16:58,60.80
AUO,2006-01-01 17:15,60.80
3A1,2006-01-01 17:20,62.60
ANB,2006-01-01 17:25,60.80
OZR,2006-01-01 17:27,69.80
AUO,2006-01-01 17:35,60.80
OZR,2006-01-01 17:36,69.80
MDQ,2006-01-01 17:38,62.60
3A1,2006-01-01 17:40,60.80
ANB,2006-01-01 17:42,60.80
HSV,2006-01-01 17:53,62.96
TCL,2006-01-01 17:53,64.94
BHM,2006-01-01 17:53,62.06
MGM,2006-01-01 17:53,62.06
ANB,2006-01-01 17:53,60.98
OZR,2006-01-01 17:55,69.80
MOB,2006-01-01 17:56,71.06
MDQ,2006-01-01 17:59,62.60
DHN,2006-01-01 17:59,66.20
3A1,2006-01-01 18:00,60.80
ALX,2006-01-01 18:00,60.80
MDQ,2006-01-01 18:00,60.80
ANB,2006-01-01 18:05,60.80
OZR,2006-01-01 18:11,69.80
AUO,2006-01-01 18:15,60.80
3A1,2006-01-01 18:20,60.80
ALX,2006-01-01 18:20,60.80
MDQ,2006-01-01 18:20,60.80
OZR,2006-01-01 18:24,69.80
AUO,2006-01-01 18:35,60.80
DHN,2006-01-01 18:36,68.00
MGM,2006-01-01 18:53,60.98
BHM,2006-01-01 18:53,62.06
HSV,2006-01-01 18:53,60.98
ANB,2006-01-01 18:53,60.08
TCL,2006-01-01 18:53,64.94
MSL,2006-01-01 18:53,62.96
DHN,2006-01-01 18:53,69.08
OZR,2006-01-01 18:55,69.80
MOB,2006-01-01 18:56,71.06
MDQ,2006-01-01 19:00,59.00
3A1,2006-01-01 19:00,60.80
ALX,2006-01-01 19:00,60.80
ANB,2006-01-01 19:08,60.80
DHN,2006-01-01 19:11,66.20
OZR,2006-01-01 19:12,66.20
AUO,2006-01-01 19:15,60.80
DHN,2006-01-01 19:19,66.20
ALX,2006-01-01 19:20,60.80
3A1,2006-01-01 19:20,60.80
MDQ,2006-01-01 19:20,60.80
DHN,2006-01-01 19:27,66.20
AUO,2006-01-01 19:35,60.80
3A1,2006-01-01 19:40,60.80
ALX,2006-01-01 19:40,60.80
MDQ,2006-01-01 19:40,60.80
HSV,2006-01-01 19:53,62.06
TCL,2006-01-01 19:53,66.02
DHN,2006-01-01 19:53,68.00
ANB,2006-01-01 19:53,60.98
MGM,2006-01-01 19:53,59.00
MSL,2006-01-01 19:53,62.06
BHM,2006-01-01 19:53,62.96
AUO,2006-01-01 19:55,60.80
OZR,2006-01-01 19:55,64.40
MOB,2006-01-01 19:56,69.98
ALX,2006-01-01 20:00,60.80
3A1,2006-01-01 20:00,60.80
MDQ,2006-01-01 20:00,60.80
DHN,2006-01-01 20:06,68.00
AUO,2006-01-01 20:15,60.80
OZR,2006-01-01 20:15,66.20
ALX,2006-01-01 20:20,60.80
3A1,2006-01-01 20:20,60.80
MDQ,2006-01-01 20:20,60.80
DHN,2006-01-01 20:21,66.20
OZR,2006-01-01 20:21,66.20
AUO,2006-01-01 20:35,62.60
MDQ,2006-01-01 20:40,62.60
ALX,2006-01-01 20:40,62.60
3A1,2006-01-01 20:40,60.80
DHN,2006-01-01 20:46,62.60
HSV,2006-01-01 20:53,62.06
MSL,2006-01-01 20:53,62.96
MGM,2006-01-01 20:53,62.06
DHN,2006-01-01 20:53,62.96
ANB,2006-01-01 20:53,60.98
BHM,2006-01-01 20:53,62.96
TCL,2006-01-01 20:53,66.92
OZR,2006-01-01 20:55,64.40
AUO,2006-01-01 20:55,60.80
MOB,2006-01-01 20:56,69.98
3A1,2006-01-01 21:00,60.80
MDQ,2006-01-01 21:00,62.60
ALX,2006-01-01 21:00,62.60
DHN,2006-01-01 21:10,62.60
AUO,2006-01-01 21:15,60.80
ANB,2006-01-01 21:19,62.60
DHN,2006-01-01 21:19,62.60
3A1,2006-01-01 21:20,60.80
ALX,2006-01-01 21:20,62.60
MDQ,2006-01-01 21:20,62.60
DHN,2006-01-01 21:26,62.60
AUO,2006-01-01 21:35,60.80
3A1,2006-01-01 21:40,60.80
ALX,2006-01-01 21:40,62.60
MSL,2006-01-01 21:53,64.04
ANB,2006-01-01 21:53,62.96
TCL,2006-01-01 21:53,68.00
DHN,2006-01-01 21:53,62.06
MGM,2006-01-01 21:53,60.08
BHM,2006-01-01 21:53,64.04
HSV,2006-01-01 21:53,62.96
AUO,2006-01-01 21:55,62.60
MOB,2006-01-01 21:56,71.06
ALX,2006-01-01 22:00,62.60
